Participant,Audio,Clip,Time,question_s,question_e,Spanish
P15BA,IWP15BA,clip 2,0.12,¿Quién era tu profesor favorito cuando estabas en el colegio?,,
P15BA,IWP15BA,clip 3,0.06,¿Has vivido en otra parte de Colombia?,,
P15BA,IWP15BA,clip 4,0.13,¿Cuál es la diferencia entre Bogotá y Barranquilla?,,
P15BA,IWP15BA,clip 5,0.17,¿Cómo son las personas de Bogotá y de Barranquilla?,,
P15BA,IWP15BA,clip 6,0.14,"¿Según tú, qué es lo que piensan los cachacos de los costeños?",,
P15BA,IWP15BA,clip 7,0.11,¿Qué crees tú que debería saber un extranjero sobre Colombia?,,
P16BA,IWP16BA,clip 1,0.03,¿Tienes algún apodo? ¿Por qué?,,
P16BA,IWP16BA,clip 2,0.06,¿Por cuánto tiempo estás incapacitado?,,
P16BA,IWP16BA,clip 3,0.21,¿Cómo te sientes?,,
P16BA,IWP16BA,clip 4,0.19,¿Puedes cargar a tu hijo?,,
P16BA,IWP16BA,clip 5,0.20,¿Qué fue lo que te pasó?,,
P16BA,IWP16BA,clip 6,0.13,¿A qué te dedicas y qué estudiaste?,,
P16BA,IWP16BA,clip 7,0.19,¿Cómo conociste a tu profesor favorito?,,
P16BA,IWP16BA,clip 8,0.26,¿Cuál era tu profesor menos favorito?,,
P17BA,IWP17BA,clip 1,0.04,¿A qué se dedica?,,
P17BA,IWP17BA,clip 2,0.06,¿Qué es lo que más te gusta de tu negocio?,,
P17BA,IWP17BA,clip 3,0.06,¿Tienes algún plan para el futuro?,,
P17BA,IWP17BA,clip 4,0.09,¿Siempre has querido viajar?,,
P17BA,IWP17BA,clip 5,0.08,¿Tienes algún buen recuerdo de cuando estabas pequeña?,,
P17BA,IWP17BA,clip 6,0.06,¿Qué opinas de tu ciudad?,,
P17BA,IWP17BA,clip 7,0.13,¿Qué haces con tu familia en tu tiempo libre?,,
P17BA,IWP17BA,clip 8,0.14,¿Qué hacen cuando van a la playa?,,
P17BA,IWP17BA,clip 9,0.04,¿Crees que el hecho de estar en familia es algo culturalmente de costeños o de todos los colombianos?,,
P17BA,IWP17BA,clip 10,0.12,¿Qué debería saber un extranjero sobre Colombia?,,
P18BA,IWP18BA,clip 1,0.04,¿Qué planes tiene para el futuro?,,
P18BA,IWP18BA,clip 2,0.11,¿A dónde te gustaría ir?,,
P18BA,IWP18BA,clip 3,0.07,¿Has ido alguna vez o has visto fotos?,,
P18BA,IWP18BA,clip 4,0.05,"¿Tu prima vive allá, cierto? ¿Ella te manda videos y fotos?",,
P18BA,IWP18BA,clip 5,0.22,¿Cuál sería la diferencia de vivir en Canadá y Colombia? ,,
P18BA,IWP18BA,clip 6,0.17,¿Cuál sería una diferencia entre los canadiences y los barranquilleros o colombianos?,,
P18BA,IWP18BA,clip 7,0.12,¿Qué querías hacer cuando estabas niña? ¿Tenías el mismo sueño de viajar?,,
P18BA,IWP18BA,clip 8,0.16,¿Cómo nos ven los paisas u otras regiones a nosotros los costeños?,,
P18BA,IWP18BA,clip 9,0.20,¿Qué le dirías a un extranjero sobre Colombia?,,
P19BA,IWP19BA,clip 1,0.13,¿Por qué tienes ese apodo?,,
P19BA,IWP19BA,clip 2,0.09,¿Qué es lo bueno de trabajar como independiente?,,
P19BA,IWP19BA,clip 3,0.16,¿Normalmente trabajas mucho o poco?,,
P19BA,IWP19BA,clip 4,0.15,¿Cuál es la diferencia entre vivir aquí en Barranquilla y Panamá?,,
P19BA,IWP19BA,clip 5,0.34,¿Tienes algún plan de qué hacer allá? ¿Cuándo estabas pequeño también tenías ese plan?,,
P19BA,IWP19BA,clip 6,0.20,¿Qué crees que vas a encontrar en Panamá que no tienes aquí en Barranquilla?,,
P19BA,IWP19BA,clip 7,0.46,¿Por qué crees que hay mucha violencia e inseguridad aquí en Colombia?,,
P19BA,IWP19BA,clip 8,0.18,¿Por qué en Panamá no sucede? Por el gobierno…,,
P19BA,IWP19BA,clip 9,0.16,¿Qué le dirías a un extranjero si viene a Colombia?,,
